elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
2.998,0.70679,2.17310,97,26.82,34.87,48.28,1,0,0.0
3.076,4.43761,3.30536,148,30.52,39.68,54.95,0,1,0.0
3.076,2.48638,2.89587,130,33.77,43.91,60.80,0,1,0.0
3.076,3.77421,3.33504,150,37.52,48.78,67.55,0,1,0.0
3.076,2.54160,2.93832,132,40.83,53.07,73.49,0,1,0.0
3.076,1.66964,2.30398,103,43.40,56.42,78.12,1,0,0.0
3.077,4.21229,3.25814,146,47.05,61.16,84.69,0,1,0.0
3.077,0.87844,2.06829,93,49.38,64.19,88.88,1,0,0.0
3.077,3.40197,2.73513,123,52.45,68.19,94.41,0,1,0.0
3.161,0.96183,1.84848,83,54.52,70.88,98.14,1,0,0.0
3.161,4.17697,3.01273,135,57.90,75.27,104.22,0,1,0.0
3.162,1.59908,2.30590,103,60.48,78.62,108.86,1,0,0.0
3.162,2.00416,2.15503,96,62.88,81.74,113.17,1,0,0.0
3.162,2.08931,2.12217,95,65.25,84.83,117.45,1,0,0.0
3.162,0.59561,1.35889,61,66.78,86.81,120.20,0,0,0.0
3.162,4.01747,2.68818,120,69.78,90.71,125.60,1,0,0.0
3.247,0.62935,1.65876,74,71.62,93.11,128.93,0,0,0.0
3.256,3.41757,2.53817,114,74.47,96.82,134.06,1,0,0.0
3.257,0.79821,1.66819,75,76.35,99.25,137.43,0,0,0.0
3.257,2.76623,2.21721,99,78.83,102.47,141.89,0,0,0.0
3.257,2.02827,2.12274,95,81.20,105.56,146.16,0,0,0.0
3.257,1.62306,1.87290,84,83.30,108.29,149.94,0,0,0.0
3.257,3.44651,2.65971,119,86.28,112.16,155.30,1,0,0.0
3.332,0.83360,1.74666,78,88.22,114.69,158.81,0,0,0.0
3.332,3.12114,2.43390,109,90.95,118.24,163.71,0,0,0.0
